RUN_ID,EXPERIMENT_TYPE,SIMULATION_TYPE,ENSEMBLE_COUNT,REVERSAL_COUNT,TRIAL_COUNT,ABC_SAMPLE_COUNT,ABC_ERROR_THRESHOLD,TARGET_TYPE,DISTANCE_TYPE,K_MIN,K_MAX,TAU_MIN,TAU_MAX,DECAY_MIN,DECAY_MAX,TIMESTAMP
1,calibrate,serial,100,1000,30,10,0.01,guppy_serial,mse,0,1,0,50,0,1,20240621_000000
2,calibrate,serial,100,10,30,10,0.01,guppy_serial,mse,0,1,0,50,0,1,20240622_104922
